productName,variationName,variationSku,variationPrice,productId,variationId
Blue Corgi Butt Sweater,Small,JH240-02S,45,,
Blue Corgi Butt Sweater,Medium,JH240-02M,45,,
Blue Corgi Butt Sweater,Large,JH240-02L,45,,
Blue Corgi Butt Sweater,2XL,JH240-02X,45,,
Blue Corgi Butt Sweater,4XL,JH240-02Z,45,,
Bunny Sweater,Small,JH240-05S,45,,
Bunny Sweater,Medium,JH240-05M,45,,
Bunny Sweater,Large,JH240-05L,45,,
Bunny Sweater,2XL,JH240-05X,45,,
Bunny Sweater,4XL,JH240-05Z,45,,
Bunny TShirt,Small,JH240-06S,35,,
Bunny TShirt,Medium,JH240-06M,35,,
Bunny TShirt,Large,JH240-06L,35,,
Bunny TShirt,XL,JH240-06W,35,,
Bunny TShirt,2XL,JH240-06X,35,,
Bunny TShirt,3XL,JH240-06Y,35,,
